"District","Representative","County","hw_hour","hw_year","%district<30K/yr","estimate"
61,"Grover, Keith ","Utah",15.73,32718.4,26,"under"
62,"Stanard, Jon E. ","Washington",15.85,32968,24,"under"
63,"Empty ","Utah",15.73,32718.4,54,"under"
64,"Thurston, Norman K ","Utah",15.73,32718.4,38,"under"
65,"Gibson, Francis D. ","Utah",15.73,32718.4,18,"under"
66,"McKell, Michael K. ","Utah",15.73,32718.4,13,"under"
67,"Roberts, Marc K. ","Utah",15.73,32718.4,18,"under"
68,"Nelson, Merrill F. ","Beaver",12.5,26000,23,"over"
68,"Nelson, Merrill F. ","Juab",15.73,32718.4,23,"under"
68,"Nelson, Merrill F. ","Millard",12.5,26000,23,"over"
68,"Nelson, Merrill F. ","Tooele",15.4,32032,23,"under"
68,"Nelson, Merrill F. ","Utah",15.73,32718.4,23,"under"
69,"Watkins, Christine F ","Carbon",12.5,26000,33,"over"
69,"Watkins, Christine F ","Duchesne",14.54,30243.2,33,"under"
69,"Watkins, Christine F ","Emery",12.5,26000,33,"over"
69,"Watkins, Christine F ","Grand",15.63,32510.4,33,"under"
70,"Albrecht, Carl R. ","Emery",12.5,26000,29,"over"
70,"Albrecht, Carl R. ","Grand",15.63,32510.4,29,"under"
70,"Albrecht, Carl R. ","Sanpete",12.5,26000,29,"over"
70,"Albrecht, Carl R. ","Sevier",12.5,26000,29,"over"
71,"Last, Bradley G. ","Iron",12.5,26000,27,"over"
71,"Last, Bradley G. ","Washington",15.85,32968,27,"under"
72,"Westwood, John R. ","Iron",12.5,26000,34,"over"
73,"Noel, Michael E. ","Beaver",12.5,26000,33,"over"
73,"Noel, Michael E. ","Garfield",12.5,26000,33,"over"
73,"Noel, Michael E. ","Kane",15.79,32843.2,33,"under"
73,"Noel, Michael E. ","Piute",15.69,32635.2,33,"under"
73,"Noel, Michael E. ","San Juan",12.5,26000,33,"over"
73,"Noel, Michael E. ","Sevier",12.5,26000,33,"over"
73,"Noel, Michael E. ","Wayne",12.5,26000,33,"over"
74,"Snow, V. Lowry ","Washington",15.85,32968,22,"under"
75,"Brooks, Walt ","Washington",15.85,32968,29,"under"
